epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
53,17014.9,2.13848,0.43991,0.33102,1.18646,0.00353,0.00544,0.7764,0.54169,0.62732,0.32464,0,0,0,0,1.9124,0,2.2277,1.01568,0.00446,0,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284
54,17330.1,2.13399,0.46217,0.33373,1.18763,0.00352,0.02012,0.77297,0.54255,0.62624,0.32503,0,0,0,0,1.90865,0,2.19497,1.01454,0.00445,0,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251
55,17648.8,2.14035,0.44045,0.32798,1.18171,0.00352,0.00919,0.77037,0.54223,0.62521,0.32497,0,0,0,0,1.90635,0,2.18781,1.01082,0.00443,0,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
56,17962.3,2.12952,0.44462,0.32609,1.16263,0.00348,0.00922,0.76972,0.54333,0.62743,0.32618,0,0,0,0,1.90308,0,2.20876,1.00949,0.00442,0,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185
57,18279,2.12581,0.45528,0.33145,1.17289,0.00349,0.01283,0.77135,0.54483,0.62857,0.32734,0,0,0,0,1.90514,0,2.21367,1.00525,0.00443,0,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152
58,18594.1,2.12115,0.43083,0.32368,1.17569,0.0035,0.00911,0.77091,0.54623,0.62948,0.32799,0,0,0,0,1.89975,0,2.2135,1.00834,0.00442,0,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
59,18908.1,2.13997,0.44242,0.32766,1.17693,0.00349,0.00935,0.77384,0.54355,0.62897,0.32781,0,0,0,0,1.90363,0,2.19953,1.00598,0.00442,0,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086
60,19220.6,2.1254,0.44279,0.32711,1.17263,0.00351,0.00733,0.7762,0.54206,0.62913,0.32801,0,0,0,0,1.90008,0,2.21018,1.00863,0.00441,0,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053
61,19537.6,2.12789,0.44062,0.33117,1.17273,0.00345,0.01553,0.77511,0.54335,0.62894,0.32792,0,0,0,0,1.89788,0,2.20522,1.00794,0.0044,0,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
62,19854.1,2.13427,0.433,0.32761,1.17298,0.00348,0.01127,0.77659,0.54282,0.62904,0.32741,0,0,0,0,1.89994,0,2.19897,1.00536,0.00441,0,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987
63,20170.1,2.12506,0.43627,0.32623,1.17844,0.00351,0.01504,0.77625,0.54106,0.62765,0.32661,0,0,0,0,1.89773,0,2.20023,1.0069,0.0044,0,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
64,20483.2,2.104,0.43584,0.32571,1.16199,0.00348,0.00483,0.77362,0.54322,0.62847,0.32702,0,0,0,0,1.89597,0,2.21791,1.00644,0.0044,0,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
65,20800.6,2.11524,0.42581,0.32105,1.16922,0.00347,0.00615,0.77597,0.54334,0.62935,0.32765,0,0,0,0,1.89538,0,2.22804,1.00458,0.0044,0,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
66,21116,2.13584,0.43287,0.32328,1.17442,0.00346,0.00422,0.77703,0.54189,0.62908,0.32798,0,0,0,0,1.89326,0,2.23974,1.00636,0.0044,0,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855
