epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
43,14461.2,2.01655,0.37148,0.31055,1.08143,0.00325,0.00994,0.7753,0.57401,0.66025,0.35138,0,0,0,0,1.8262,0,2.19483,0.94019,0.00422,0,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
44,14787,2.02541,0.36126,0.30727,1.08673,0.00323,0.00557,0.77378,0.57439,0.66071,0.3517,0,0,0,0,1.82764,0,2.21196,0.9413,0.00423,0,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581
45,15114.2,2.02146,0.35556,0.30428,1.08119,0.00319,0.0045,0.7776,0.5785,0.66694,0.35456,0,0,0,0,1.82647,0,2.2234,0.93556,0.00421,0,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
46,15440.9,2.01102,0.36355,0.30221,1.08071,0.00324,0.00296,0.78352,0.57996,0.66848,0.35647,0,0,0,0,1.82022,0,2.30312,0.93277,0.00419,0,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
47,15767.3,2.00957,0.36158,0.30492,1.06983,0.00321,0.00998,0.78363,0.58139,0.66854,0.35525,0,0,0,0,1.82172,0,2.19073,0.93237,0.00419,0,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
48,16097.3,2.02667,0.3595,0.31225,1.08132,0.00323,0.01323,0.78641,0.57678,0.66679,0.35378,0,0,0,0,1.82405,0,2.12553,0.93482,0.0042,0,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449
49,16424.1,2.03177,0.35205,0.30596,1.08415,0.00319,0.00494,0.78215,0.5756,0.66599,0.35387,0,0,0,0,1.82069,0,2.19061,0.93063,0.00418,0,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
50,16749,1.98901,0.35196,0.29259,1.07084,0.00324,0.00185,0.78184,0.5753,0.66634,0.35543,0,0,0,0,1.81694,0,2.30491,0.92771,0.00418,0,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383
51,17078.1,2.01106,0.35473,0.3026,1.07348,0.00319,0.00928,0.78098,0.58336,0.67213,0.35746,0,0,0,0,1.81459,0,2.27044,0.92912,0.00419,0,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
52,17404.7,1.99185,0.34615,0.29697,1.06196,0.00319,0.00197,0.78894,0.57704,0.67177,0.35799,0,0,0,0,1.8125,0,2.31886,0.93166,0.00416,0,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
53,17731.5,2.00607,0.34462,0.29906,1.07036,0.00318,0.00507,0.7831,0.57739,0.67116,0.35668,0,0,0,0,1.81317,0,2.33509,0.93229,0.00416,0,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284
54,18058.4,1.99915,0.35646,0.29969,1.06752,0.00318,0.00609,0.7821,0.57784,0.67021,0.35806,0,0,0,0,1.80993,0,2.31445,0.93138,0.00415,0,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251
55,18388.3,2.00693,0.34385,0.29659,1.06764,0.00318,0.00253,0.77395,0.57675,0.6675,0.3572,0,0,0,0,1.809,0,2.32538,0.93063,0.00415,0,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
56,18713.4,1.99123,0.35172,0.29455,1.05751,0.00313,0.00731,0.77907,0.5762,0.66884,0.35768,0,0,0,0,1.80735,0,2.29203,0.93305,0.00415,0,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185
