epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
55,18152.3,1.93333,0.27208,0.28083,1.03159,0.00304,-2.01663,0.77342,0.57623,0.66396,0.3537,0,0,0,0,1.81927,0,1.93937,0.93723,0.00422,0,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
56,18479.8,1.91822,0.2743,0.27773,1.0152,0.00298,-2.07325,0.77493,0.57933,0.66636,0.35472,0,0,0,0,1.81705,0,1.93962,0.93479,0.00422,0,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185
57,18809.1,1.91178,0.27806,0.28003,1.01791,0.003,-2.06046,0.77812,0.57958,0.66774,0.35664,0,0,0,0,1.81598,0,1.94063,0.93315,0.00422,0,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152
58,19135.5,1.91823,0.26356,0.27519,1.02156,0.00303,-2.08038,0.77864,0.58001,0.66849,0.35732,0,0,0,0,1.81486,0,1.93707,0.93318,0.00421,0,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
59,19459.8,1.93035,0.27147,0.27856,1.01977,0.00301,-2.0786,0.77497,0.58149,0.66762,0.35623,0,0,0,0,1.81508,0,1.944,0.93535,0.00421,0,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086
60,19781,1.91853,0.27476,0.27939,1.01674,0.00303,-2.10974,0.77763,0.57706,0.66721,0.3566,0,0,0,0,1.81537,0,1.9444,0.93362,0.00422,0,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053
61,20109.4,1.91846,0.26975,0.28328,1.02133,0.00298,-2.10097,0.7766,0.5786,0.66717,0.3572,0,0,0,0,1.81528,0,1.93755,0.93196,0.00422,0,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
62,20439.6,1.92748,0.26559,0.27967,1.02149,0.003,-2.04282,0.77366,0.57814,0.66585,0.35612,0,0,0,0,1.81724,0,1.94173,0.93119,0.00422,0,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987
63,20761.8,1.9197,0.26682,0.27875,1.01969,0.00302,-2.08228,0.77079,0.5795,0.66591,0.35536,0,0,0,0,1.81874,0,1.94153,0.93206,0.00423,0,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
64,21087.3,1.89917,0.26676,0.27486,1.0041,0.00299,-2.14229,0.76857,0.58118,0.66653,0.35551,0,0,0,0,1.81924,0,1.94388,0.93294,0.00422,0,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
65,21414.9,1.9182,0.25781,0.2729,1.00715,0.003,-2.14437,0.77191,0.57953,0.66629,0.35616,0,0,0,0,1.81849,0,1.94735,0.9315,0.00422,0,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
66,21739.3,1.92497,0.26917,0.2757,1.02265,0.00298,-2.11971,0.77253,0.57887,0.6666,0.35567,0,0,0,0,1.8201,0,1.94579,0.93084,0.00422,0,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855
67,22069.9,1.90264,0.26489,0.2739,1.01097,0.003,-2.18663,0.77475,0.5791,0.66737,0.35569,0,0,0,0,1.81957,0,1.94703,0.92976,0.00422,0,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
68,22395,1.91778,0.27302,0.27575,1.01727,0.00297,-2.22766,0.77415,0.57998,0.66817,0.35599,0,0,0,0,1.81836,0,1.94622,0.92913,0.00422,0,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789
69,22723.4,1.90702,0.25792,0.27194,1.00463,0.00296,-2.20262,0.77409,0.58015,0.66869,0.3566,0,0,0,0,1.81603,0,1.94748,0.92792,0.00421,0,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
70,23047.1,1.90891,0.26374,0.27206,1.01012,0.00297,-2.187,0.77343,0.58069,0.66885,0.35685,0,0,0,0,1.81489,0,1.9489,0.92756,0.00421,0,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
71,23371,1.90735,0.26155,0.27707,1.00323,0.003,-2.11823,0.77475,0.58016,0.66867,0.35678,0,0,0,0,1.81532,0,1.94791,0.92759,0.00421,0,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
72,23693.1,1.90742,0.26217,0.26822,1.00612,0.00297,-2.13473,0.77528,0.58122,0.66945,0.35707,0,0,0,0,1.81481,0,1.94635,0.92741,0.00421,0,0.022971,0.007657,0.022971,0.007657,0.022971,0.007657,0.022971,0.007657
73,24013.2,1.91841,0.26806,0.27587,1.0188,0.00299,-2.13251,0.77431,0.58154,0.66972,0.35711,0,0,0,0,1.81322,0,1.94737,0.92804,0.00421,0,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
74,24335.1,1.90594,0.25847,0.26985,1.0033,0.00295,-2.19071,0.77297,0.58197,0.66962,0.35765,0,0,0,0,1.81263,0,1.94589,0.92606,0.00421,0,0.022773,0.007591,0.022773,0.007591,0.022773,0.007591,0.022773,0.007591
75,24655,1.91079,0.25803,0.27556,1.0084,0.00296,-2.2341,0.77505,0.58222,0.66995,0.35748,0,0,0,0,1.81139,0,1.94598,0.92736,0.0042,0,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
76,24981.3,1.89915,0.26043,0.27122,1.00547,0.00294,-2.27619,0.77704,0.58091,0.67023,0.35793,0,0,0,0,1.81128,0,1.9435,0.92737,0.0042,0,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
